algo,step,energy,elapsed_ms
QAOA(p=2),0,7.20364389,44
QAOA(p=2),1,9.05374887,186
QAOA(p=2),2,8.20207125,318
QAOA(p=2),3,8.25139512,447
QAOA(p=2),4,8.56129161,575
QAOA(p=2),5,11.35394777,793
QAOA(p=2),6,9.13311861,926
QAOA(p=2),7,9.02959067,1061
QAOA(p=2),8,9.10530538,1194
QAOA(p=2),9,8.27996647,1327
QAOA(p=2),10,6.53915469,1456
QAOA(p=2),11,8.31668022,1585
QAOA(p=2),12,8.75046245,1715
QAOA(p=2),13,7.10953474,1934
QAOA(p=2),14,8.98648643,2066
QAOA(p=2),15,9.02722744,2195
QAOA(p=2),16,9.28928573,2324
QAOA(p=2),17,7.30131522,2456
QAOA(p=2),18,9.53331586,2588
QAOA(p=2),19,4.55514173,2717
QAOA(p=2),20,9.81361577,2849
QAOA(p=2),21,5.65812878,2982
QAOA(p=2),22,9.11707239,3115
QAOA(p=2),23,8.70332757,3343
QAOA(p=2),24,8.12660753,3472
QAOA(p=2),25,6.82853046,3602
QAOA(p=2),26,10.10018881,3733
QAOA(p=2),27,7.08477033,3863
QAOA(p=2),28,9.25000493,3997
QAOA(p=2),29,7.09651132,4127
QAOA(p=2),30,8.83396120,4335
QAOA(p=2),31,7.70499674,4463
QAOA(p=2),32,9.55139647,4594
QAOA(p=2),33,10.28288677,4726
QAOA(p=2),34,9.70678323,4855
QAOA(p=2),35,9.12099288,4988
QAOA(p=2),36,11.15813601,5116
QAOA(p=2),37,8.58351129,5249
QAOA(p=2),38,10.89080790,5468
QAOA(p=2),39,5.51418958,5600
QAOA(p=2),40,9.01036735,5729
QAOA(p=2),41,8.70862846,5858
QAOA(p=2),42,12.13432513,5989
QAOA(p=2),43,9.27121218,6120
QAOA(p=2),44,7.30302521,6251
QAOA(p=2),45,8.91751975,6380
QAOA(p=2),46,6.30451647,6518
QAOA(p=2),47,8.63207195,6737
QAOA(p=2),48,9.02610546,6867
QAOA(p=2),49,8.20192659,6999
QAOA(p=2),50,7.11818255,7128
QAOA(p=2),51,7.61922610,7260
QAOA(p=2),52,11.85170841,7390
QAOA(p=2),53,8.55750234,7526
QAOA(p=2),54,6.68153435,7657
QAOA(p=2),55,10.39172285,7788
QAOA(p=2),56,9.50480895,8007
QAOA(p=2),57,5.73245168,8140
QAOA(p=2),58,10.55757684,8272
QAOA(p=2),59,9.00661175,8404
QAOA(p=2),60,11.71529398,8534
QAOA(p=2),61,9.09997491,8664
QAOA(p=2),62,9.43553369,8801
QAOA(p=2),63,8.19326865,8930
QAOA(p=2),64,5.65030823,9062
QAOA(p=2),65,9.02667729,9191
QAOA(p=2),66,9.82302407,9404
QAOA(p=2),67,7.11285516,9534
QAOA(p=2),68,8.41586668,9662
QAOA(p=2),69,9.48025566,9796
QAOA(p=2),70,11.55232137,9928
QAOA(p=2),71,10.93430212,10060
QAOA(p=2),72,7.00219715,10189
QAOA(p=2),73,8.92150833,10406
QAOA(p=2),74,6.78619301,10538
QAOA(p=2),75,10.61367998,10666
QAOA(p=2),76,8.86208753,10794
QAOA(p=2),77,8.27266460,10927
QAOA(p=2),78,8.75247700,11060
QAOA(p=2),79,9.38799349,11189
QAOA(p=2),80,9.95745005,11320
QAOA(p=2),81,6.87526417,11542
QAOA(p=2),82,9.42446575,11671
QAOA(p=2),83,8.41757291,11802
QAOA(p=2),84,11.98202141,11934
QAOA(p=2),85,7.66033638,12067
QAOA(p=2),86,8.37871115,12200
QAOA(p=2),87,4.73231954,12333
QAOA(p=2),88,7.49171255,12461
QAOA(p=2),89,9.01960524,12594
QAOA(p=2),90,8.98531313,12810
QAOA(p=2),91,8.00816769,12942
QAOA(p=2),92,7.91316373,13074
QAOA(p=2),93,8.47298276,13206
QAOA(p=2),94,7.28388289,13337
QAOA(p=2),95,10.61033226,13469
QAOA(p=2),96,12.30503389,13601
QAOA(p=2),97,8.13729206,13733
QAOA(p=2),98,10.78663813,13862
QAOA(p=2),99,9.66245575,14078
QAOA(p=2),100,8.62485887,14207
QAOA(p=2),101,9.09736080,14337
QAOA(p=2),102,6.65336637,14465
QAOA(p=2),103,8.92078732,14593
QAOA(p=2),104,5.84555288,14726
QAOA(p=2),105,4.57005729,14858
QAOA(p=2),106,8.40636345,14988
QAOA(p=2),107,8.42548349,15121
QAOA(p=2),108,10.58160904,15255
QAOA(p=2),109,8.16399427,15473
QAOA(p=2),110,9.53714040,15604
QAOA(p=2),111,8.18029716,15736
QAOA(p=2),112,11.89165380,15873
QAOA(p=2),113,7.32693819,16007
QAOA(p=2),114,8.26820466,16136
QAOA(p=2),115,6.14168628,16265
QAOA(p=2),116,11.40232910,16483
QAOA(p=2),117,8.89813287,16617
QAOA(p=2),118,8.10838696,16746
QAOA(p=2),119,7.31243749,16875
QAOA(p=2),120,11.79959043,17004
QAOA(p=2),121,8.89122396,17132
QAOA(p=2),122,7.38073901,17264
QAOA(p=2),123,11.32637470,17399
QAOA(p=2),124,7.39394701,17617
QAOA(p=2),125,7.41414714,17746
QAOA(p=2),126,8.89007154,17878
QAOA(p=2),127,10.06671553,18007
QAOA(p=2),128,9.11780382,18135
QAOA(p=2),129,10.99761335,18264
QAOA(p=2),130,9.15309409,18393
QAOA(p=2),131,8.45954516,18527
QAOA(p=2),132,9.20169309,18656
QAOA(p=2),133,7.74691881,18875
QAOA(p=2),134,9.92725345,19005
QAOA(p=2),135,10.09052023,19137
QAOA(p=2),136,4.83296299,19268
QAOA(p=2),137,8.29066696,19397
QAOA(p=2),138,10.64427759,19526
QAOA(p=2),139,7.08128646,19657
QAOA(p=2),140,9.05524504,19785
QAOA(p=2),141,6.16240207,19914
QAOA(p=2),142,9.96977603,20129
QAOA(p=2),143,11.21909455,20258
QAOA(p=2),144,8.51322388,20389
QAOA(p=2),145,6.89337030,20518
QAOA(p=2),146,10.08881862,20648
QAOA(p=2),147,8.73280682,20781
QAOA(p=2),148,11.62409121,20911
QAOA(p=2),149,8.61794580,21044
QAOA(p=2),150,5.19020509,21176
QAOA(p=2),151,11.19513240,21308
QAOA(p=2),152,6.58787023,21520
QAOA(p=2),153,11.14266361,21649
QAOA(p=2),154,7.18495844,21779
QAOA(p=2),155,4.45392299,21910
QAOA(p=2),156,8.38438833,22042
QAOA(p=2),157,10.75600076,22173
QAOA(p=2),158,8.96439229,22304
QAOA(p=2),159,9.22113169,22527
QAOA(p=2),160,11.31178040,22659
QAOA(p=2),161,10.61188663,22790
QAOA(p=2),162,8.08067983,22922
QAOA(p=2),163,7.29549623,23054
QAOA(p=2),164,10.67711850,23185
QAOA(p=2),165,7.86380907,23315
QAOA(p=2),166,7.99089019,23444
QAOA(p=2),167,6.70939176,23662
QAOA(p=2),168,7.61213258,23794
QAOA(p=2),169,8.59298140,23927
QAOA(p=2),170,9.45899347,24056
QAOA(p=2),171,8.85519710,24185
QAOA(p=2),172,6.54901247,24317
QAOA(p=2),173,5.74388069,24447
QAOA(p=2),174,7.78199268,24579
QAOA(p=2),175,8.60234308,24709
QAOA(p=2),176,7.59675749,24926
QAOA(p=2),177,10.09625830,25057
QAOA(p=2),178,8.99705083,25189
QAOA(p=2),179,8.96732860,25320
QAOA(p=2),180,7.85997303,25451
QAOA(p=2),181,7.37383152,25583
QAOA(p=2),182,6.16824801,25712
QAOA(p=2),183,9.01561205,25842
QAOA(p=2),184,9.18232223,25974
QAOA(p=2),185,9.57007511,26192
QAOA(p=2),186,11.11582778,26322
QAOA(p=2),187,6.27907781,26455
QAOA(p=2),188,10.42182489,26581
QAOA(p=2),189,6.75979767,26704
QAOA(p=2),190,7.11802831,26837
QAOA(p=2),191,7.94001740,26970
QAOA(p=2),192,10.10681485,27102
QAOA(p=2),193,7.43346235,27235
QAOA(p=2),194,9.54387941,27363
QAOA(p=2),195,7.28305096,27576
QAOA(p=2),196,11.10491597,27706
QAOA(p=2),197,7.54940761,27836
QAOA(p=2),198,7.57573348,27969
QAOA(p=2),199,8.23793716,28141
QAOA(p=2),200,8.58394086,28271
HEA(d=3),0,0.74662809,37
HEA(d=3),1,0.23002894,261
HEA(d=3),2,0.07910041,396
HEA(d=3),3,0.03234885,532
HEA(d=3),4,0.01547221,665
HEA(d=3),5,0.00835817,797
HEA(d=3),6,0.00492431,1019
HEA(d=3),7,0.00307558,1152
HEA(d=3),8,0.00199573,1284
HEA(d=3),9,0.00132790,1415
HEA(d=3),10,0.00089862,1547
HEA(d=3),11,0.00061543,1759
HEA(d=3),12,0.00042530,1891
HEA(d=3),13,0.00029607,2023
HEA(d=3),14,0.00020743,2155
HEA(d=3),15,0.00014621,2304
HEA(d=3),16,0.00010370,2520
HEA(d=3),17,0.00007404,2653
HEA(d=3),18,0.00005326,2785
HEA(d=3),19,0.00003865,2917
HEA(d=3),20,0.00002835,3049
HEA(d=3),21,0.00002106,3263
HEA(d=3),22,0.00001588,3395
HEA(d=3),23,0.00001219,3527
HEA(d=3),24,0.00000955,3659
HEA(d=3),25,0.00000766,3792
HEA(d=3),26,0.00000629,4004
HEA(d=3),27,0.00000531,4136
HEA(d=3),28,0.00000459,4267
HEA(d=3),29,0.00000406,4399
HEA(d=3),30,0.00000366,4618
HEA(d=3),31,0.00000337,4751
HEA(d=3),32,0.00000314,4883
HEA(d=3),33,0.00000297,5015
HEA(d=3),34,0.00000283,5146
HEA(d=3),35,0.00000272,5278
HEA(d=3),36,0.00000263,5493
HEA(d=3),37,0.00000255,5625
HEA(d=3),38,0.00000249,5758
HEA(d=3),39,0.00000243,5890
HEA(d=3),40,0.00000238,6022
HEA(d=3),41,0.00000233,6235
HEA(d=3),42,0.00000228,6367
HEA(d=3),43,0.00000224,6499
HEA(d=3),44,0.00000220,6630
HEA(d=3),45,0.00000217,6851
HEA(d=3),46,0.00000213,6983
